idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,IpersIndicePersistenzaLattazione,AccuratezzaCalcoloIndice,TipoIndice,FrequenzaCalcolo,AnnoDiRiferimento
-9223372029988816609,-9223372036835156541,,,C4,11,31,5,2024,91.0,66.0,GENETICO,semestrale,2024
-9223372029988816615,-9223372036835156767,,,C4,11,31,5,2024,92.0,64.0,GENETICO,semestrale,2024
-9223372029988816621,-9223372036835156518,,,C4,11,31,5,2024,103.0,70.0,GENETICO,semestrale,2024
-9223372029988816627,-9223372036835156708,,,C4,11,31,5,2024,95.0,61.0,GENETICO,semestrale,2024
-9223372029988816633,-9223372036846950899,,,C4,11,31,5,2024,99.0,66.0,GENETICO,semestrale,2024
-9223372029988816639,-9223372036835156508,,,C4,11,31,5,2024,87.0,68.0,GENETICO,semestrale,2024
-9223372029988816645,-9223372036835156760,,,C4,11,31,5,2024,104.0,64.0,GENETICO,semestrale,2024
-9223372029988816651,-9223372036835156773,,,C4,11,31,5,2024,91.0,65.0,GENETICO,semestrale,2024
-9223372029988816657,-9223372036835156749,,,C4,11,31,5,2024,103.0,63.0,GENETICO,semestrale,2024
-9223372029988816663,-9223372036835156529,,,C4,11,31,5,2024,93.0,62.0,GENETICO,semestrale,2024
-9223372029988816669,-9223372036835156770,,,C4,11,31,5,2024,107.0,63.0,GENETICO,semestrale,2024
-9223372029988816675,-9223372036835156516,,,C4,11,31,5,2024,106.0,67.0,GENETICO,semestrale,2024
-9223372029988816681,-9223372036835156492,,,C4,11,31,5,2024,106.0,63.0,GENETICO,semestrale,2024
-9223372029988816687,-9223372036835156424,,,C4,11,31,5,2024,103.0,61.0,GENETICO,semestrale,2024
-9223372029988816693,-9223372036835156533,,,C4,11,31,5,2024,100.0,73.0,GENETICO,semestrale,2024
-9223372029988816699,-9223372036835156423,,,C4,11,31,5,2024,97.0,66.0,GENETICO,semestrale,2024
-9223372029988816705,-9223372036835156446,,,C4,11,31,5,2024,100.0,71.0,GENETICO,semestrale,2024
-9223372029988816711,-9223372036835156429,,,C4,11,31,5,2024,101.0,61.0,GENETICO,semestrale,2024
-9223372029988816717,-9223372036835156753,,,C4,11,31,5,2024,98.0,68.0,GENETICO,semestrale,2024
-9223372029988816723,-9223372036835156475,,,C4,11,31,5,2024,93.0,67.0,GENETICO,semestrale,2024
-9223372029988816729,-9223372036835156694,,,C4,11,31,5,2024,96.0,63.0,GENETICO,semestrale,2024
