,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
0,-9223372036849885537,-9223372036566407685,72,BA,C4,11,Acido Citrico,0.057,mM/l,2,9,2019,-9223372036849885537_2019
1,-9223372036849885480,-9223372036566408049,72,BA,C4,11,Acido Citrico,0.085,mM/l,2,9,2019,-9223372036849885480_2019
2,-9223372036848066940,-9223372036566408133,72,BA,C4,11,Acido Citrico,0.109,mM/l,2,9,2019,-9223372036848066940_2019
3,-9223372036849885375,-9223372036566407993,72,BA,C4,11,Acido Citrico,0.084,mM/l,2,9,2019,-9223372036849885375_2019
4,-9223372036849885366,-9223372036566408301,72,BA,C4,11,Acido Citrico,0.099,mM/l,2,9,2019,-9223372036849885366_2019
5,-9223372036849885433,-9223372036566407545,72,BA,C4,11,Acido Citrico,0.137,mM/l,2,9,2019,-9223372036849885433_2019
6,-9223372036849885354,-9223372036566407937,72,BA,C4,11,Acido Citrico,0.082,mM/l,2,9,2019,-9223372036849885354_2019
7,-9223372036848307095,-9223372036566407489,72,BA,C4,11,Acido Citrico,0.06,mM/l,2,9,2019,-9223372036848307095_2019
9,-9223372036848307096,-9223372036566407965,72,BA,C4,11,Acido Citrico,0.072,mM/l,2,9,2019,-9223372036848307096_2019
10,-9223372036848307094,-9223372036566408217,72,BA,C4,11,Acido Citrico,0.086,mM/l,2,9,2019,-9223372036848307094_2019
11,-9223372036848639919,-9223372036566408105,72,BA,C4,11,Acido Citrico,0.064,mM/l,2,9,2019,-9223372036848639919_2019
12,-9223372036849885422,-9223372036566407629,72,BA,C4,11,Acido Citrico,0.054,mM/l,2,9,2019,-9223372036849885422_2019
13,-9223372036848066939,-9223372036566407853,72,BA,C4,11,Acido Citrico,0.071,mM/l,2,9,2019,-9223372036848066939_2019
14,-9223372036848633997,-9223372036566407769,72,BA,C4,11,Acido Citrico,0.115,mM/l,2,9,2019,-9223372036848633997_2019
15,-9223372036849885398,-9223372036566408273,72,BA,C4,11,Acido Citrico,0.053,mM/l,2,9,2019,-9223372036849885398_2019
43,-9223372036849885480,-9223372036348959174,72,BA,C4,11,Acido Citrico,0.144,mM/l,26,6,2020,-9223372036849885480_2020
44,-9223372036849885433,-9223372036348959510,72,BA,C4,11,Acido Citrico,0.14,mM/l,26,6,2020,-9223372036849885433_2020
51,-9223372036847969539,-9223372036344203534,86,EN,C4,11,Acido Citrico,0.073,mM/l,9,7,2020,-9223372036847969539_2020
59,-9223372036849505993,-9223372034061466848,36,MO,C4,11,Acido Citrico,0.1,mM/l,26,4,2022,-9223372036849505993_2022
91,-9223372036845191175,-9223372032505004167,36,MO,C4,11,Acido Citrico,0.09,mM/l,16,3,2023,-9223372036845191175_2023
92,-9223372036849909307,-9223372032505035678,36,MO,C4,11,Acido Citrico,0.11,mM/l,16,3,2023,-9223372036849909307_2023
93,-9223372036849909751,-9223372032505001933,36,MO,C4,11,Acido Citrico,0.09,mM/l,16,3,2023,-9223372036849909751_2023
94,-9223372036846315213,-9223372032505006697,36,MO,C4,11,Acido Citrico,0.1,mM/l,16,3,2023,-9223372036846315213_2023
95,-9223372036849505993,-9223372032505005512,36,MO,C4,11,Acido Citrico,0.11,mM/l,16,3,2023,-9223372036849505993_2023
96,-9223372036845931218,-9223372032505004565,36,MO,C4,11,Acido Citrico,0.09,mM/l,16,3,2023,-9223372036845931218_2023
97,-9223372036844902646,-9223372032505005711,36,MO,C4,11,Acido Citrico,0.09,mM/l,16,3,2023,-9223372036844902646_2023
